,Giorno,T Media,T min,T max,Precip.,Umidità,Vento Max,Raffica,Fenomeni,Info,mese,anno,citta
4601,11,25 °C,14 °C,31 °C,-,54 %,15 km/h,-,Nessuno,,Settembre,2019,Formia
4602,12,26 °C,15 °C,31 °C,-,50 %,18 km/h,-,Nessuno,,Settembre,2019,Formia
4603,13,26 °C,14 °C,32 °C,-,54 %,15 km/h,-,Nessuno,,Settembre,2019,Formia
4604,14,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4605,15,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4606,16,25 °C,16 °C,31 °C,-,61 %,18 km/h,-,Nessuno,,Settembre,2019,Formia
4607,17,25 °C,16 °C,30 °C,-,62 %,21 km/h,-,Nessuno,,Settembre,2019,Formia
4608,18,24 °C,15 °C,30 °C,-,68 %,18 km/h,-,Nessuno,,Settembre,2019,Formia
4609,19,23 °C,19 °C,26 °C,n/d,77 %,18 km/h,-,,,Settembre,2019,Formia
4610,20,23 °C,17 °C,26 °C,-,67 %,18 km/h,-,Nessuno,,Settembre,2019,Formia
4611,21,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4612,22,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4613,23,23 °C,16 °C,28 °C,n/d,76 %,18 km/h,-,,,Settembre,2019,Formia
4614,24,22 °C,15 °C,26 °C,-,64 %,18 km/h,-,Nessuno,,Settembre,2019,Formia
4615,25,22 °C,14 °C,26 °C,-,67 %,11 km/h,-,Nessuno,,Settembre,2019,Formia
4616,26,24 °C,18 °C,27 °C,-,64 %,13 km/h,-,Nessuno,,Settembre,2019,Formia
4617,27,24 °C,16 °C,28 °C,-,65 %,9 km/h,-,Nessuno,,Settembre,2019,Formia
4618,28,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4619,29,-,-,-,-,-,-,-,,n/d,Settembre,2019,Formia
4620,1,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4621,2,15 °C,8 °C,20 °C,-,70 %,24 km/h,-,,,Maggio,2019,Formia
4622,3,16 °C,10 °C,20 °C,-,62 %,22 km/h,-,Nessuno,,Maggio,2019,Formia
4623,4,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4624,5,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4625,6,12 °C,6 °C,16 °C,n/d,72 %,18 km/h,-,,,Maggio,2019,Formia
4626,7,14 °C,4 °C,18 °C,-,62 %,13 km/h,-,Nessuno,,Maggio,2019,Formia
4627,8,15 °C,4 °C,19 °C,-,61 %,21 km/h,-,Nessuno,,Maggio,2019,Formia
4628,9,14 °C,10 °C,19 °C,n/d,81 %,11 km/h,-,,,Maggio,2019,Formia
4629,10,19 °C,12 °C,23 °C,-,59 %,18 km/h,-,Nessuno,,Maggio,2019,Formia
4630,11,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4631,12,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4632,13,14 °C,8 °C,18 °C,-,71 %,21 km/h,-,Nessuno,,Maggio,2019,Formia
4633,14,16 °C,12 °C,19 °C,n/d,59 %,30 km/h,-,,,Maggio,2019,Formia
4634,15,10 °C,9 °C,11 °C,n/d,90 %,13 km/h,-,,,Maggio,2019,Formia
4635,16,15 °C,8 °C,19 °C,-,65 %,21 km/h,-,Nessuno,,Maggio,2019,Formia
4636,17,17 °C,8 °C,21 °C,-,63 %,18 km/h,-,Nessuno,,Maggio,2019,Formia
4637,18,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4638,19,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4639,20,13 °C,10 °C,16 °C,n/d,78 %,18 km/h,-,,,Maggio,2019,Formia
4640,21,16 °C,12 °C,19 °C,-,74 %,9 km/h,-,Nessuno,,Maggio,2019,Formia
4641,22,18 °C,10 °C,22 °C,-,69 %,18 km/h,-,Nessuno,,Maggio,2019,Formia
4642,23,18 °C,11 °C,22 °C,n/d,67 %,18 km/h,-,,,Maggio,2019,Formia
4643,24,19 °C,10 °C,22 °C,n/d,72 %,21 km/h,-,,,Maggio,2019,Formia
4644,25,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4645,26,-,-,-,-,-,-,-,,n/d,Maggio,2019,Formia
4646,27,16 °C,15 °C,16 °C,n/d,89 %,15 km/h,-,,,Maggio,2019,Formia
4647,28,18 °C,14 °C,20 °C,n/d,73 %,18 km/h,-,,,Maggio,2019,Formia
4648,29,18 °C,14 °C,20 °C,-,62 %,26 km/h,-,Nessuno,,Maggio,2019,Formia
4649,30,17 °C,12 °C,21 °C,-,72 %,15 km/h,-,Nessuno,,Maggio,2019,Formia
4650,1,18 °C,11 °C,23 °C,-,71 %,18 km/h,-,,,Giugno,2020,Formia
4651,2,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4652,3,20 °C,13 °C,24 °C,n/d,70 %,18 km/h,-,,,Giugno,2020,Formia
4653,4,20 °C,14 °C,23 °C,-,68 %,22 km/h,-,Nessuno,,Giugno,2020,Formia
4654,5,17 °C,16 °C,19 °C,n/d,91 %,18 km/h,-,,,Giugno,2020,Formia
4655,6,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4656,7,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4657,8,18 °C,16 °C,19 °C,n/d,91 %,17 km/h,-,,,Giugno,2020,Formia
4658,9,19 °C,15 °C,23 °C,n/d,72 %,18 km/h,-,,,Giugno,2020,Formia
4659,10,17 °C,14 °C,21 °C,n/d,80 %,15 km/h,-,,,Giugno,2020,Formia
4660,11,16 °C,13 °C,19 °C,n/d,88 %,18 km/h,-,,,Giugno,2020,Formia
4661,12,19 °C,11 °C,24 °C,-,71 %,21 km/h,-,Nessuno,,Giugno,2020,Formia
4662,13,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4663,14,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4664,15,21 °C,15 °C,26 °C,-,72 %,18 km/h,-,Nessuno,,Giugno,2020,Formia
4665,16,21 °C,15 °C,25 °C,n/d,79 %,24 km/h,-,,,Giugno,2020,Formia
4666,17,21 °C,15 °C,25 °C,-,78 %,21 km/h,-,,,Giugno,2020,Formia
4667,18,22 °C,15 °C,25 °C,-,67 %,24 km/h,-,Nessuno,,Giugno,2020,Formia
4668,19,21 °C,15 °C,25 °C,-,69 %,13 km/h,-,Nessuno,,Giugno,2020,Formia
4669,20,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4670,21,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4671,22,21 °C,13 °C,26 °C,-,73 %,11 km/h,-,Nessuno,,Giugno,2020,Formia
4672,23,26 °C,18 °C,30 °C,-,54 %,9 km/h,-,Nessuno,,Giugno,2020,Formia
4673,24,25 °C,17 °C,29 °C,-,58 %,18 km/h,-,Nessuno,,Giugno,2020,Formia
4674,25,25 °C,18 °C,29 °C,-,65 %,18 km/h,-,Nessuno,,Giugno,2020,Formia
4675,26,26 °C,19 °C,30 °C,-,63 %,18 km/h,-,Nessuno,,Giugno,2020,Formia
4676,27,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4677,28,-,-,-,-,-,-,-,,n/d,Giugno,2020,Formia
4678,29,27 °C,19 °C,31 °C,-,61 %,24 km/h,-,Nessuno,,Giugno,2020,Formia
4679,1,21 °C,15 °C,27 °C,-,71 %,11 km/h,-,,,Settembre,2020,Formia
4680,2,23 °C,15 °C,27 °C,-,65 %,11 km/h,-,Nessuno,,Settembre,2020,Formia
4681,3,25 °C,18 °C,30 °C,-,59 %,18 km/h,-,Nessuno,,Settembre,2020,Formia
4682,4,25 °C,17 °C,31 °C,-,58 %,18 km/h,-,Nessuno,,Settembre,2020,Formia
4683,5,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4684,6,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4685,7,25 °C,17 °C,31 °C,-,61 %,11 km/h,-,Nessuno,,Settembre,2020,Formia
4686,8,27 °C,19 °C,33 °C,-,57 %,13 km/h,-,Nessuno,,Settembre,2020,Formia
4687,9,28 °C,20 °C,33 °C,-,60 %,11 km/h,-,Nessuno,,Settembre,2020,Formia
4688,10,28 °C,19 °C,34 °C,n/d,60 %,15 km/h,-,,,Settembre,2020,Formia
4689,11,27 °C,18 °C,32 °C,-,63 %,18 km/h,-,Nessuno,,Settembre,2020,Formia
4690,12,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4691,13,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4692,14,28 °C,19 °C,34 °C,-,52 %,18 km/h,-,Nessuno,,Settembre,2020,Formia
4693,15,27 °C,18 °C,33 °C,n/d,61 %,18 km/h,-,,,Settembre,2020,Formia
4694,16,26 °C,17 °C,32 °C,-,59 %,13 km/h,-,Nessuno,,Settembre,2020,Formia
4695,17,26 °C,17 °C,32 °C,n/d,55 %,18 km/h,-,,,Settembre,2020,Formia
4696,18,26 °C,16 °C,32 °C,-,60 %,15 km/h,-,Nessuno,,Settembre,2020,Formia
4697,19,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4698,20,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4699,21,23 °C,20 °C,27 °C,n/d,81 %,15 km/h,-,,,Settembre,2020,Formia
4700,22,22 °C,17 °C,27 °C,n/d,79 %,15 km/h,-,,,Settembre,2020,Formia
4701,23,20 °C,16 °C,23 °C,n/d,88 %,9 km/h,-,,,Settembre,2020,Formia
4702,24,22 °C,16 °C,26 °C,-,79 %,21 km/h,-,,,Settembre,2020,Formia
4703,25,22 °C,20 °C,24 °C,n/d,83 %,18 km/h,-,,,Settembre,2020,Formia
4704,26,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4705,27,-,-,-,-,-,-,-,,n/d,Settembre,2020,Formia
4706,28,14 °C,11 °C,16 °C,n/d,94 %,18 km/h,-,,,Settembre,2020,Formia
4707,29,15 °C,8 °C,21 °C,-,71 %,18 km/h,-,,,Settembre,2020,Formia
4708,1,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4709,2,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4710,3,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4711,4,19 °C,11 °C,24 °C,-,54 %,13 km/h,-,Nessuno,,Maggio,2020,Formia
4712,5,19 °C,10 °C,24 °C,-,59 %,15 km/h,-,Nessuno,,Maggio,2020,Formia
4713,6,20 °C,14 °C,25 °C,-,66 %,21 km/h,-,Nessuno,,Maggio,2020,Formia
4714,7,20 °C,13 °C,24 °C,-,51 %,24 km/h,-,Nessuno,,Maggio,2020,Formia
4715,8,19 °C,9 °C,24 °C,-,61 %,22 km/h,-,Nessuno,,Maggio,2020,Formia
4716,9,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4717,10,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4718,11,19 °C,12 °C,24 °C,n/d,69 %,15 km/h,-,,,Maggio,2020,Formia
4719,12,19 °C,10 °C,23 °C,-,69 %,17 km/h,-,Nessuno,,Maggio,2020,Formia
4720,13,22 °C,13 °C,28 °C,-,56 %,24 km/h,-,Nessuno,,Maggio,2020,Formia
4721,14,23 °C,16 °C,27 °C,-,62 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4722,15,23 °C,17 °C,26 °C,-,53 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4723,16,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4724,17,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4725,18,24 °C,18 °C,29 °C,-,60 %,24 km/h,-,Nessuno,,Maggio,2020,Formia
4726,19,22 °C,17 °C,25 °C,-,68 %,21 km/h,-,Nessuno,,Maggio,2020,Formia
4727,20,18 °C,15 °C,23 °C,n/d,81 %,15 km/h,-,,,Maggio,2020,Formia
4728,21,21 °C,14 °C,25 °C,-,61 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4729,22,22 °C,13 °C,26 °C,-,53 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4730,23,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4731,24,-,-,-,-,-,-,-,,n/d,Maggio,2020,Formia
4732,25,22 °C,16 °C,26 °C,-,58 %,21 km/h,-,Nessuno,,Maggio,2020,Formia
4733,26,20 °C,13 °C,23 °C,-,52 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4734,27,20 °C,12 °C,24 °C,-,51 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4735,28,19 °C,12 °C,24 °C,-,53 %,18 km/h,-,Nessuno,,Maggio,2020,Formia
4736,1,21 °C,12 °C,26 °C,-,52 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4737,2,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4738,3,25 °C,17 °C,29 °C,-,47 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4739,4,25 °C,15 °C,29 °C,-,47 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4740,5,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4741,6,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4742,7,22 °C,16 °C,26 °C,n/d,79 %,30 km/h,-,,,Giugno,2021,Formia
4743,8,20 °C,17 °C,24 °C,n/d,84 %,18 km/h,-,,,Giugno,2021,Formia
4744,9,20 °C,16 °C,26 °C,n/d,77 %,31 km/h,-,,,Giugno,2021,Formia
4745,10,20 °C,13 °C,28 °C,n/d,74 %,28 km/h,-,,,Giugno,2021,Formia
4746,11,21 °C,14 °C,28 °C,n/d,69 %,18 km/h,-,,,Giugno,2021,Formia
4747,12,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4748,13,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4749,14,25 °C,19 °C,29 °C,n/d,73 %,18 km/h,-,,,Giugno,2021,Formia
4750,15,24 °C,18 °C,27 °C,-,72 %,18 km/h,-,,,Giugno,2021,Formia
4751,16,24 °C,17 °C,27 °C,-,70 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4752,17,25 °C,17 °C,29 °C,n/d,74 %,18 km/h,-,,,Giugno,2021,Formia
4753,18,26 °C,19 °C,29 °C,-,68 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4754,19,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4755,20,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4756,21,28 °C,21 °C,32 °C,-,60 %,13 km/h,-,Nessuno,,Giugno,2021,Formia
4757,22,29 °C,21 °C,33 °C,-,58 %,13 km/h,-,Nessuno,,Giugno,2021,Formia
4758,23,29 °C,21 °C,34 °C,-,60 %,22 km/h,-,Nessuno,,Giugno,2021,Formia
4759,24,28 °C,21 °C,31 °C,n/d,67 %,11 km/h,-,,,Giugno,2021,Formia
4760,25,26 °C,22 °C,31 °C,n/d,73 %,17 km/h,-,,,Giugno,2021,Formia
4761,26,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4762,27,-,-,-,-,-,-,-,,n/d,Giugno,2021,Formia
4763,28,30 °C,20 °C,34 °C,-,48 %,18 km/h,-,Nessuno,,Giugno,2021,Formia
4764,29,29 °C,22 °C,32 °C,-,60 %,22 km/h,-,Nessuno,,Giugno,2021,Formia
4765,1,26 °C,17 °C,30 °C,-,58 %,21 km/h,-,Nessuno,,Settembre,2021,Formia
4766,2,26 °C,17 °C,31 °C,-,56 %,18 km/h,-,Nessuno,,Settembre,2021,Formia
4767,3,26 °C,21 °C,30 °C,-,62 %,9 km/h,-,Nessuno,,Settembre,2021,Formia
4768,4,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4769,5,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4770,6,24 °C,16 °C,31 °C,n/d,65 %,18 km/h,-,,,Settembre,2021,Formia
4771,7,24 °C,17 °C,30 °C,-,61 %,18 km/h,-,Nessuno,,Settembre,2021,Formia
4772,8,23 °C,18 °C,29 °C,n/d,63 %,30 km/h,-,,,Settembre,2021,Formia
4773,9,25 °C,15 °C,29 °C,-,55 %,18 km/h,-,Nessuno,,Settembre,2021,Formia
4774,10,25 °C,17 °C,29 °C,-,52 %,13 km/h,-,Nessuno,,Settembre,2021,Formia
4775,11,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4776,12,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4777,13,24 °C,16 °C,31 °C,-,65 %,15 km/h,-,Nessuno,,Settembre,2021,Formia
4778,14,26 °C,16 °C,31 °C,-,58 %,15 km/h,-,Nessuno,,Settembre,2021,Formia
4779,15,24 °C,16 °C,29 °C,-,64 %,11 km/h,-,Nessuno,,Settembre,2021,Formia
4780,16,26 °C,19 °C,30 °C,-,64 %,13 km/h,-,Nessuno,,Settembre,2021,Formia
4781,17,23 °C,21 °C,26 °C,n/d,87 %,13 km/h,-,,,Settembre,2021,Formia
4782,18,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4783,19,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4784,20,25 °C,22 °C,28 °C,-,58 %,21 km/h,-,Nessuno,,Settembre,2021,Formia
4785,21,23 °C,14 °C,26 °C,-,64 %,15 km/h,-,Nessuno,,Settembre,2021,Formia
4786,22,24 °C,16 °C,28 °C,-,65 %,18 km/h,-,Nessuno,,Settembre,2021,Formia
4787,23,24 °C,21 °C,27 °C,-,52 %,18 km/h,-,Nessuno,,Settembre,2021,Formia
4788,24,24 °C,15 °C,28 °C,-,59 %,15 km/h,-,Nessuno,,Settembre,2021,Formia
4789,25,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4790,26,-,-,-,-,-,-,-,,n/d,Settembre,2021,Formia
4791,27,24 °C,20 °C,28 °C,-,76 %,11 km/h,-,Nessuno,,Settembre,2021,Formia
4792,28,25 °C,21 °C,29 °C,n/d,71 %,13 km/h,-,,,Settembre,2021,Formia
4793,29,24 °C,19 °C,28 °C,n/d,70 %,9 km/h,-,,,Settembre,2021,Formia
4794,1,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4795,2,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4796,3,15 °C,6 °C,20 °C,-,65 %,9 km/h,-,Nessuno,,Maggio,2021,Formia
4797,4,14 °C,6 °C,19 °C,n/d,65 %,9 km/h,-,,,Maggio,2021,Formia
4798,5,16 °C,11 °C,21 °C,-,69 %,8 km/h,-,Nessuno,,Maggio,2021,Formia
4799,6,17 °C,9 °C,21 °C,-,65 %,24 km/h,-,Nessuno,,Maggio,2021,Formia
4800,7,18 °C,9 °C,21 °C,-,65 %,22 km/h,-,Nessuno,,Maggio,2021,Formia
4801,8,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4802,9,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4803,10,20 °C,10 °C,25 °C,-,56 %,22 km/h,-,Nessuno,,Maggio,2021,Formia
4804,11,20 °C,12 °C,25 °C,n/d,66 %,28 km/h,-,,,Maggio,2021,Formia
4805,12,19 °C,14 °C,21 °C,-,64 %,22 km/h,-,Nessuno,,Maggio,2021,Formia
4806,13,17 °C,12 °C,19 °C,-,65 %,28 km/h,-,Nessuno,,Maggio,2021,Formia
4807,14,15 °C,10 °C,18 °C,-,61 %,21 km/h,-,Nessuno,,Maggio,2021,Formia
4808,15,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4809,16,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4810,17,18 °C,14 °C,22 °C,-,76 %,18 km/h,-,Nessuno,,Maggio,2021,Formia
4811,18,16 °C,10 °C,20 °C,-,67 %,9 km/h,-,Nessuno,,Maggio,2021,Formia
4812,19,18 °C,13 °C,20 °C,n/d,72 %,26 km/h,-,,,Maggio,2021,Formia
4813,20,16 °C,10 °C,21 °C,n/d,62 %,24 km/h,-,,,Maggio,2021,Formia
4814,21,18 °C,8 °C,22 °C,-,55 %,22 km/h,-,Nessuno,,Maggio,2021,Formia
4815,22,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4816,23,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4817,24,23 °C,15 °C,29 °C,n/d,55 %,26 km/h,-,,,Maggio,2021,Formia
4818,25,21 °C,15 °C,24 °C,-,56 %,18 km/h,-,Nessuno,,Maggio,2021,Formia
4819,26,19 °C,14 °C,23 °C,-,67 %,18 km/h,-,Nessuno,,Maggio,2021,Formia
4820,27,20 °C,13 °C,25 °C,-,63 %,18 km/h,-,Nessuno,,Maggio,2021,Formia
4821,28,24 °C,14 °C,27 °C,-,49 %,18 km/h,-,Nessuno,,Maggio,2021,Formia
4822,29,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4823,30,-,-,-,-,-,-,-,,n/d,Maggio,2021,Formia
4824,1,27 °C,16 °C,32 °C,-,54 %,13 km/h,-,Nessuno,,Giugno,2022,Formia
4825,2,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4826,3,28 °C,18 °C,33 °C,-,53 %,21 km/h,-,Nessuno,,Giugno,2022,Formia
4827,4,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4828,5,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4829,6,29 °C,19 °C,34 °C,-,46 %,18 km/h,-,Nessuno,,Giugno,2022,Formia
4830,7,29 °C,19 °C,32 °C,-,47 %,18 km/h,-,Nessuno,,Giugno,2022,Formia
4831,8,26 °C,18 °C,30 °C,-,65 %,28 km/h,-,Nessuno,,Giugno,2022,Formia
4832,9,21 °C,19 °C,23 °C,n/d,76 %,22 km/h,-,,,Giugno,2022,Formia
4833,10,24 °C,18 °C,26 °C,-,51 %,33 km/h,-,Nessuno,,Giugno,2022,Formia
4834,11,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4835,12,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4836,13,27 °C,17 °C,31 °C,-,47 %,15 km/h,-,Nessuno,,Giugno,2022,Formia
4837,14,26 °C,18 °C,31 °C,n/d,53 %,28 km/h,-,,,Giugno,2022,Formia
4838,15,26 °C,18 °C,31 °C,n/d,65 %,26 km/h,-,,,Giugno,2022,Formia
4839,16,28 °C,19 °C,32 °C,-,52 %,22 km/h,-,Nessuno,,Giugno,2022,Formia
4840,17,26 °C,20 °C,33 °C,n/d,63 %,24 km/h,-,,,Giugno,2022,Formia
4841,18,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4842,19,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4843,20,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4844,21,28 °C,17 °C,32 °C,-,50 %,21 km/h,-,Nessuno,,Giugno,2022,Formia
4845,22,29 °C,19 °C,34 °C,-,47 %,17 km/h,-,Nessuno,,Giugno,2022,Formia
4846,23,27 °C,19 °C,31 °C,-,55 %,11 km/h,-,Nessuno,,Giugno,2022,Formia
4847,24,28 °C,20 °C,32 °C,-,61 %,22 km/h,-,Nessuno,,Giugno,2022,Formia
4848,25,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4849,26,-,-,-,-,-,-,-,,n/d,Giugno,2022,Formia
4850,27,32 °C,19 °C,38 °C,-,44 %,18 km/h,-,Nessuno,,Giugno,2022,Formia
4851,28,32 °C,21 °C,37 °C,-,41 %,18 km/h,-,Nessuno,,Giugno,2022,Formia
4852,29,29 °C,22 °C,33 °C,-,59 %,18 km/h,-,Nessuno,,Giugno,2022,Formia
4853,1,23 °C,20 °C,27 °C,n/d,77 %,22 km/h,-,,,Settembre,2022,Formia
4854,2,24 °C,15 °C,28 °C,-,65 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4855,3,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4856,4,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4857,5,26 °C,16 °C,30 °C,-,64 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4858,6,27 °C,17 °C,31 °C,-,64 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4859,7,30 °C,27 °C,31 °C,-,50 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4860,8,23 °C,20 °C,25 °C,n/d,81 %,24 km/h,-,,,Settembre,2022,Formia
4861,9,25 °C,20 °C,28 °C,-,74 %,24 km/h,-,Nessuno,,Settembre,2022,Formia
4862,10,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4863,11,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4864,12,27 °C,24 °C,29 °C,-,46 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4865,13,25 °C,18 °C,29 °C,-,54 %,21 km/h,-,Nessuno,,Settembre,2022,Formia
4866,14,26 °C,18 °C,29 °C,-,56 %,21 km/h,-,Nessuno,,Settembre,2022,Formia
4867,15,22 °C,20 °C,25 °C,n/d,82 %,15 km/h,-,,,Settembre,2022,Formia
4868,16,26 °C,21 °C,29 °C,n/d,63 %,18 km/h,-,,,Settembre,2022,Formia
4869,17,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4870,18,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4871,19,20 °C,9 °C,25 °C,-,64 %,21 km/h,-,Nessuno,,Settembre,2022,Formia
4872,20,21 °C,16 °C,25 °C,-,69 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4873,21,19 °C,13 °C,24 °C,-,62 %,11 km/h,-,Nessuno,,Settembre,2022,Formia
4874,22,19 °C,12 °C,24 °C,-,55 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4875,23,18 °C,10 °C,23 °C,-,60 %,18 km/h,-,Nessuno,,Settembre,2022,Formia
4876,24,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4877,25,-,-,-,-,-,-,-,,n/d,Settembre,2022,Formia
4878,26,16 °C,13 °C,18 °C,n/d,95 %,11 km/h,-,,,Settembre,2022,Formia
4879,27,17 °C,13 °C,22 °C,n/d,85 %,18 km/h,-,,,Settembre,2022,Formia
4880,28,18 °C,14 °C,21 °C,n/d,79 %,18 km/h,-,,,Settembre,2022,Formia
4881,29,17 °C,14 °C,21 °C,n/d,88 %,18 km/h,-,,,Settembre,2022,Formia
4882,1,-,-,-,-,-,-,-,,n/d,Maggio,2022,Formia
4883,2,16 °C,9 °C,22 °C,n/d,67 %,22 km/h,-,,,Maggio,2022,Formia
4884,3,18 °C,13 °C,21 °C,n/d,62 %,21 km/h,-,,,Maggio,2022,Formia
4885,4,17 °C,10 °C,21 °C,n/d,71 %,9 km/h,-,,,Maggio,2022,Formia
4886,5,16 °C,9 °C,20 °C,-,70 %,13 km/h,-,Nessuno,,Maggio,2022,Formia
4887,6,19 °C,16 °C,21 °C,n/d,66 %,28 km/h,-,,,Maggio,2022,Formia
4888,7,-,-,-,-,-,-,-,,n/d,Maggio,2022,Formia
4889,8,-,-,-,-,-,-,-,,n/d,Maggio,2022,Formia
4890,9,19 °C,11 °C,24 °C,n/d,66 %,15 km/h,-,,,Maggio,2022,Formia
4891,10,19 °C,11 °C,25 °C,n/d,65 %,13 km/h,-,,,Maggio,2022,Formia
4892,11,20 °C,11 °C,25 °C,n/d,64 %,18 km/h,-,,,Maggio,2022,Formia
4893,12,21 °C,12 °C,26 °C,-,67 %,15 km/h,-,Nessuno,,Maggio,2022,Formia
4894,13,21 °C,12 °C,27 °C,-,67 %,15 km/h,-,Nessuno,,Maggio,2022,Formia
4895,14,-,-,-,-,-,-,-,,n/d,Maggio,2022,Formia
4896,15,-,-,-,-,-,-,-,,n/d,Maggio,2022,Formia
